source_value,harmonised_value,indigenous,notes
50% KAUKAS./50% AASIA (50% CAUCASIAN/50% ASIAN),Mixed,,Finland (n=1). White and Asian.
AFRICAN AMERICAN + ASIAN,Mixed,,Canada (n=1). Black and Asian.
AFRICAN AMERICAN EUROPEAN,Mixed,,US (n=1). White and Black.
AFRICAN AND EUROPEAN,Mixed,,Australia (n=1). White and Black.
AFRICAN AND WHITE,Mixed,,Canada (n=1). White and Black.
AFRIKKALAIS-AASIALAINEN (AFRICAN-ASIAN),Mixed,,Finland (n=1). Black and Asian.
ARAB/WHITE,Mixed,,Canada (n=1). White and Arab.
ASIAN AND AFRICAN,Mixed,,Canada (n=1). Black and Asian.
BIRACIAL,Mixed,,US (n=1). Mixed race.
BLACK AND FIRST NATION,Mixed,Indigenous,Canada (n=1). Black and First Nations.
CAPE MALAY,Mixed,,South Africa (n=1). South African Coloured population group.
CAUCASIAN AND ASIAN INDIAN,Mixed,,US (n=1). White and Asian.
DUTCH AND INDONESIAN,Mixed,,Canada (n=1). White and Asian.
EAST INDIAN AND WHITE,Mixed,,Canada (n=1). White and Asian.
EURASIAN,Mixed,,Australia (n=1). White and Asian.
EUROPEAN AND ABORIGINAL OR TORRES STRAIT ISLANDER,Mixed,Indigenous,Australia (n=1). White and Aboriginal.
EUROPEAN AND ARABIC,Mixed,,Australia (n=1). White and Arab.
EUROPEAN AND ASIAN,Mixed,,Australia (n=3). White and Asian.
EUROPEAN AND FIJIAN,Mixed,,Australia (n=1). White and Pacific.
EUROPEAN ORIGIN AND ABORIGINAL OR TORRES STRAIT I,Mixed,Indigenous,Australia (n=1). White and Aboriginal.
EUROPEAN ORIGIN AND ASIAN,Mixed,,Australia (n=1). White and Asian.
EUROPEAN/ABORIGINAL,Mixed,Indigenous,Australia (n=1). White and Aboriginal.
EUROPEAN/ASIAN,Mixed,,Australia (n=1). White and Asian.
FRENCH-BLACK CARIBEAN,Mixed,,UK (n=1). White and Black Caribbean.
INDIAN & EUROPEAN,Mixed,,Australia (n=1). White and Asian.
IRANIAN AND WHITE,Mixed,,Canada (n=1). White and Middle Eastern.
"ISÄ MAROKK,ÄITI SUOM. (FATHER MOROCCAN, MOTHER FI",Mixed,,Finland (n=1). Finnish and Moroccan.
ITALIAN AND TURKIN,Mixed,,UK (n=1). White and Turkish.
KAUKASIALAINEN + AASIALAINEN (CAUCASIAN + ASIAN),Mixed,,Finland (n=1). White and Asian.
KOREAN AND AZERBAIDGANI,Mixed,,UK (n=1). Asian and Azerbaijani.
MAORI AND EUROPEAN,Mixed,,Australia (n=1). White and Maori.
MIXED RACE BRITISH,Mixed,,UK (n=1). Mixed race.
MOTHER GERMAN DESCENT AND FATHER INDIAN BORN,Mixed,,Australia (n=1). White and Asian.
NEW ZELEAN INDIAN BRITISH ENGLISH,Mixed,,UK (n=1). White and Asian.
PACIFIC ISLANDER AND EUROPEAN,Mixed,,Australia (n=1). White and Pacific.
SUOMI/AASIA (FINLAND/ASIA),Mixed,,Finland (n=1). Finnish and Asian.
"TEUTONIC-INDIAN, AUSTRALIAN BY BIRTH",Mixed,,Australia (n=1). White and Asian.
VENÄJÄ/EGYPTI (RUSSIAN/EGYPT),Mixed,,Finland (n=1). Russian and Egyptian.
WHITE AND ARAB,Mixed,,UK (n=1). White and Arab.
WHITE AND CARIBBEAN MIX,Mixed,,UK (n=1). White and Black Caribbean.
WHITE AND EAST ASIAN,Mixed,,Canada (n=1). White and Asian.
WHITE AND EAST INDIAN,Mixed,,"Canada, US (n=6). White and Asian."
WHITE AND FIRST NATIONS,Mixed,Indigenous,Canada (n=2). White and First Nations.
WHITE AND JAMAICAN,Mixed,,Canada (n=1). White and Black Caribbean.
WHITE AND MIDDLE EASTERN,Mixed,,Canada (n=1). White and Middle Eastern.
WHITE AND NORTH AFRICAN,Mixed,,Canada (n=1). White and North African.
WHITE AND WEST INDIAN,Mixed,,Canada (n=1). White and Black Caribbean.
"WHITE BACKGROUND, BUT INDIAN PATERNAL GRANDFATHER",Mixed,,UK (n=1). White and Asian heritage.
"WHITE, AFRICAN AMERICAN, ASIAN",Mixed,,US (n=1). Three groups.
"WHITE, AMERICAN INDIAN, ALEUTIAN, ALASKA NATIVE",Mixed,,US (n=1). White and American Indian.
WHITE-MORROCAN,Mixed,,UK (n=1). White and North African.
AFGHAN,Other,,"Australia, Canada (n=3). Afghan (chose Other over the listed Asian option)."
ARAB,Other,,Canada (n=3). Arab.
ARAB AMERICAN,Other,,US (n=1). Arab.
ARAB-LEBANESE,Other,,Canada (n=1). Arab.
ARAB/MEDITERRANEAN,Other,,Canada (n=1). Arab.
ARABIC,Other,,Canada (n=1). Arab.
ARABIC/CANADIAN,Other,,Canada (n=1). Arab; site nationality uninformative.
EGYPTIAN,Other,,Canada (n=1). North African.
INUIT,Other,Indigenous,Canada (n=1). Indigenous (Inuit).
INUIT AND FIRST NATION,Other,Indigenous,"Canada (n=1). Indigenous (Inuit, First Nations)."
IRANIAN,Other,,Canada (n=1). Middle Eastern.
IRAQ,Other,,Australia (n=1). Middle Eastern.
ISLANDER,Other,Unknown,Australia (n=1). Torres Strait or Pacific Islander (ambiguous).
LEBANESE,Other,,"Australia, Canada (n=5). Middle Eastern."
MAORI,Other,,Australia (n=1). Maori (Pacific).
MIDDLE EASTERN,Other,,"Australia, Canada (n=10). Middle Eastern."
MOROCCAIN,Other,,Canada (n=1). North African.
NATIVE CANADIAN,Other,Indigenous,Canada (n=1). Indigenous Canadian.
NORTH AFRICAN,Other,,Canada (n=1). North African.
TURKISH,Other,,"Canada, Finland, UK (n=3). Middle Eastern."
"1/2 BRITISH, 1/2 AMERICAN",Unknown,,UK (n=1). Nationalities only.
1/4 CAST,Unknown,,UK (n=1). Uninterpretable.
AMERICAN,Unknown,,India (n=2). Bare nationality.
AUSTRALIAN,Unknown,,Australia (n=85). Bare site nationality.
AUSTRALIAN AND AMERICAN,Unknown,,Australia (n=1). Nationalities only.
BRITISH-BRAZILIAN,Unknown,,UK (n=1). Nationalities only.
CATHOLIC,Unknown,,India (n=3). Religion only.
CHRISTIAN,Unknown,,India (n=1). Religion only.
ISLAM,Unknown,,South Africa (n=1). Religion only.
MUSLIM,Unknown,,"Canada, South Africa (n=5). Religion only."
NEW ZEALAND,Unknown,,UK (n=1). Bare nationality.
ROMAN CATHOLIC,Unknown,,India (n=1). Religion only.
75% SUOM. 25% EMIGR. VANHA VENÄL.(75% FIN 25% RUS,White,,Finland (n=1). Finnish and Russian (European) origin.
ALBANIAN,White,,"Canada, UK (n=2). European origin."
AUSTRALIAN AND ENGLISH,White,,Australia (n=2). European origin; site nationality uninformative.
AUSTRALIAN AND EUROPEAN,White,,Australia (n=1). European origin; site nationality uninformative.
BRITISH & BELIGAN,White,,UK (n=1). British and Belgian (European) origin.
BRITISH ORIGIN,White,,Australia (n=1). European origin.
BRITISH/FRENCH WHITE,White,,"UK (n=1). White, British and French origin."
BRITISH/SPANISH,White,,UK (n=1). British and Spanish (European) origin.
ENGLISH,White,,Australia (n=2). European origin.
EUROOPPALAINEN (EUROPEAN),White,,Finland (n=5). European origin.
EUROPEAN AND ENGLISH,White,,Australia (n=1). European origin.
EUROPEAN WHITE,White,,UK (n=1). White European.
FINNISH,White,,Finland (n=41). European national origin.
FRENCH,White,,India (n=1). European national origin.
GERMAN,White,,UK (n=1). European national origin.
GERMAN/ENGLISH/SCOTTISH,White,,UK (n=1). European origin.
"GREEK, NEW ZEALAND",White,,UK (n=1). Greek (European) origin; New Zealand nationality uninformative.
IRISH,White,,Australia (n=1). European origin.
ITALIAN,White,,UK (n=3). European national origin.
LATVIAN,White,,UK (n=3). European national origin.
"LÄNSIMAALAINEN, VAALEA IHOINEN (WESTERNER,WHITE)",White,,"Finland (n=1). Western, white-skinned."
MOTHER WHITE GERMAN/NEW ZEALAND,White,,UK (n=1). White German origin; New Zealand nationality uninformative.
"POHJ.MAALAINEN, VAALEAIHOINEN SCANDINAVIAN, WHITE",White,,"Finland (n=1). Scandinavian, white."
POHJOISMAALAINEN SUOMALAINEN (SCANDINAVIAN FINNIS,White,,Finland (n=1). Scandinavian Finnish.
POLISH,White,,UK (n=4). European national origin.
PORTUGUESE CANADIAN,White,,Canada (n=1). European origin; site nationality uninformative.
SKANDINAAVI (SCANDINAVIAN),White,,Finland (n=1). Scandinavian.
SUOMALAIS-VIROLAINEN (FINNISH-ESTONIAN),White,,Finland (n=1). Finnish and Estonian (European) origin.
"VENÄL. ÄITI, SUOM. ISÄ (MOTHER RU, FATHER FI)",White,,Finland (n=1). Russian and Finnish (European) origin.
VENÄLÄINEN (RUSSIAN),White,,Finland (n=1). Russian (European) origin.
VIRO (ESTONIA),White,,Finland (n=1). Estonian (European) origin.
WHITE - POLISH,White,,UK (n=1). White European.
WHITE BRITISH/CANADIAN,White,,UK (n=1). White British.
WHITE EUROPEAN,White,,UK (n=2). White European.
