target_variable,status,source_columns,expression,notes,lookup_table,measure
maternal_education,compatible,mother_education,"lookup_values(
  recode_values(
    mother_education,
    1 ~ ""Completed grade school or less"",
    2 ~ ""Some high school"",
    3 ~ ""Completed high school"",
    4 ~ ""Some college"",
    5 ~ ""Completed college"",
    6 ~ ""Graduate or professional school after college"",
    7 ~ ""Don't know, or does not apply"",
    default = ""Don't know, or does not apply""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education"",
  default = ""Unknown""
)","Adolescent report. Codes 1-7 stable across years, expanded to labels for the shared lookup; -9 (to 2011) falls to the don't-know default, so Unknown.",maternal_education,
paternal_education,compatible,father_education,"recode_values(
  father_education,
  c(1, 2, 3) ~ ""Secondary school or less"",
  4 ~ ""Post-secondary"",
  c(5, 6) ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)",Same collapsed vocabulary as maternal_education; no shared paternal_education lookup. Code 7 (don't know) and -9 become Unknown.,,
parental_education,compatible,"mother_education, father_education","recode_values(
  pmax(
    ifelse(mother_education %in% 1:6, mother_education, NA),
    ifelse(father_education %in% 1:6, father_education, NA),
    na.rm = TRUE
  ),
  c(1, 2, 3) ~ ""Secondary school or less"",
  4 ~ ""Post-secondary"",
  c(5, 6) ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)",Higher of the two parents' levels (codes 1-6 are ordered). Code 7 (don't know) and -9 dropped before the max; one reported parent suffices.,,
urbanicity,proximate,smsa,"recode_values(smsa, 1 ~ ""Urban"", 0 ~ ""Rural"", default = ""Unknown"")","School in a Metropolitan Statistical Area (sampling frame), the only urbanicity flag across all years. Proximate: an MSA holds city and suburb, so Urban includes suburbs; Suburban never used. 2024 has no MSA flag (Unknown); the 2024-only city/suburban/rural item not used, to keep one definition.",,
family_structure,proximate,"hshld_mother, hshld_father","case_when(
  hshld_mother == 1 & hshld_father == 1 ~ ""Two biological/adoptive parents"",
  hshld_mother == 1 | hshld_father == 1 ~ ""Single parent"",
  hshld_mother == 0 & hshld_father == 0 ~ ""Other"",
  .default = ""Unknown""
)","Household tick list. Proximate: options bundle step-parents ('Father (or stepfather)'), so step families count as two biological/adoptive parents. Neither parent marked becomes Other; -9 (nothing marked) Unknown.",,
fam_screenrules,in_progress,,,,,
fam_bedroomscreen,in_progress,,,,,
fam_parentstress,in_progress,,,,,
fam_parentstress_measure,in_progress,,,,,
school_grade,compatible,grade,"paste(""Grade"", grade)","Grades 8, 10 and 12, set by sample rather than self-report; never missing.",,
st_measure_type,inferred,,"""Categorical""","Every MTF time-use item is a banded response set, never open-ended hours.",,
st_measure_name,inferred,,"""Custom""",Bespoke MTF time-use items; not drawn from a named instrument.,,
st_responder,inferred,,"""Self""",MTF is a self-completed in-school questionnaire.,,
st_total_wd,unavailable,,,,,
st_total_we,unavailable,,,,,
st_total,unavailable,,,,,
st_watch_wd,partial,"watch_video_hrs_weekday, tv_hrs_weekday","coalesce(
  recode_values(watch_video_hrs_weekday, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(tv_hrs_weekday, 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5.5)
)","2000-2017: TV on an average WEEKDAY (top band 5+ h, against 9+ h on the weekend item); 2018-2024: video, TV or movies on any device on an average WEEKDAY. Partial: construct widens in 2018. Band midpoints; open top band given the width of the band below. The 2018 battery redesign (hours/week to hours/day) roughly doubles reported hours in the raw responses; treat 2000-2017 and 2018-2024 as different instruments.",,
st_watch_we,partial,"watch_video_hrs_weekend, tv_hrs_weekend","coalesce(
  recode_values(watch_video_hrs_weekend, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(tv_hrs_weekend, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5) / 2
)","Pre-2018 item covers both weekend days combined, halved; 2018+ asks per weekend day. Pre-2018 item 8th/10th grade only, so 12th grade missing 2000-2017. Band midpoints; open top band given the width of the band below. See st_watch_wd for the 2018 break.",,
st_watch,partial,"watch_video_hrs_weekday, watch_video_hrs_weekend, tv_hrs_weekday, tv_hrs_weekend","((coalesce(
  recode_values(watch_video_hrs_weekday, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(tv_hrs_weekday, 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5.5)
)) *
  5 +
  (coalesce(
    recode_values(watch_video_hrs_weekend, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
    recode_values(tv_hrs_weekend, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5) / 2
  )) *
    2) /
  7",5:2 weighted mean of st_watch_wd and st_watch_we; missing where the weekend item is (12th grade 2000-2017). See st_watch_wd for the 2018 break.,,
st_game_wd,unavailable,,,,,
st_game_we,unavailable,,,,,
st_game,compatible,"gaming_hrs_day, gaming_hrs_week","coalesce(
  recode_values(gaming_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(gaming_hrs_week, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 4, 5 ~ 7.5, 6 ~ 14.5, 7 ~ 24.5, 8 ~ 34.5, 9 ~ 44.5) / 7
)","Device-agnostic gaming item: hours/week 2008-2017 (divided by 7), hours/day 2018-2024; not asked before 2008. Band midpoints; open top band given the width of the band below. See st_watch_wd for the 2018 break.",,
st_game_comp_wd,unavailable,,,,,
st_game_comp_we,unavailable,,,,,
st_game_comp,unavailable,,,,,
st_game_console_wd,unavailable,,,,,
st_game_console_we,unavailable,,,,,
st_game_console,unavailable,,,,,
st_game_handheldconsole_wd,unavailable,,,,,
st_game_handheldconsole_we,unavailable,,,,,
st_game_handheldconsole,unavailable,,,,,
st_game_active_wd,unavailable,,,,,
st_game_active_we,unavailable,,,,,
st_game_active,unavailable,,,,,
st_game_phone_wd,unavailable,,,,,
st_game_phone_we,unavailable,,,,,
st_game_phone,unavailable,,,,,
st_game_tablet_wd,unavailable,,,,,
st_game_tablet_we,unavailable,,,,,
st_game_tablet,unavailable,,,,,
st_comp_nongaming_wd,unavailable,,,,,
st_comp_nongaming_we,unavailable,,,,,
st_comp_nongaming,incompatible,computer_hrs_week_other,,"The 'doing other things' computer item includes computer gaming, with no item to subtract it.",,
st_comp_wd,unavailable,,,,,
st_comp_we,unavailable,,,,,
st_comp,partial,"computer_hrs_week_school, computer_hrs_week_job, computer_hrs_week_other","if_else(
  data_year <= 2012,
  sum_nonmissing(
    recode_values(
      computer_hrs_week_school,
      1 ~ 0,
      2 ~ 0.5,
      3 ~ 1.5,
      4 ~ 4,
      5 ~ 7.5,
      6 ~ 14.5,
      7 ~ 24.5,
      8 ~ 34.5,
      9 ~ 44.5
    ),
    recode_values(
      computer_hrs_week_job,
      1 ~ 0,
      2 ~ 0.5,
      3 ~ 1.5,
      4 ~ 4,
      5 ~ 7.5,
      6 ~ 14.5,
      7 ~ 24.5,
      8 ~ 34.5,
      9 ~ 44.5
    ),
    recode_values(
      computer_hrs_week_other,
      1 ~ 0,
      2 ~ 0.5,
      3 ~ 1.5,
      4 ~ 4,
      5 ~ 7.5,
      6 ~ 14.5,
      7 ~ 24.5,
      8 ~ 34.5,
      9 ~ 44.5
    )
  ),
  NA_real_
) /
  7","Sum of the three hours/week computer parts (schoolwork, job, other things), divided by 7. 2000-2012 only: job and other-things parts dropped after 2012. Partial: summing three banded midpoints compounds banding and top-coding error. Band midpoints; open top band given the width of the band below.",,
st_tablet_wd,unavailable,,,,,
st_tablet_we,unavailable,,,,,
st_tablet,unavailable,,,,,
st_phone_wd,unavailable,,,,,
st_phone_we,unavailable,,,,,
st_phone,partial,"texting_hrs_day, texting_hrs_week","coalesce(
  recode_values(texting_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(texting_hrs_week, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 4, 5 ~ 7.5, 6 ~ 14.5, 7 ~ 24.5, 8 ~ 34.5, 9 ~ 44.5) / 7
)","Texting on a cell phone: hours/week 2010-2017 (divided by 7), hours/day 2018-2024. Partial: texting only (no total-phone item; calling is not screen use), a large undercount. Band midpoints; open top band given the width of the band below. See st_watch_wd for the 2018 break.",,
st_socmedia_wd,unavailable,,,,,
st_socmedia_we,unavailable,,,,,
st_socmedia,compatible,"social_media_hrs_day, social_media_hrs_week","coalesce(
  recode_values(social_media_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(
    social_media_hrs_week,
    1 ~ 0,
    2 ~ 0.5,
    3 ~ 1.5,
    4 ~ 4,
    5 ~ 7.5,
    6 ~ 14.5,
    7 ~ 24.5,
    8 ~ 34.5,
    9 ~ 44.5
  ) /
    7
)","Social networking sites (e.g. Facebook, Twitter, Instagram): hours/week 2013-2017 (divided by 7), hours/day from 2018; not asked before 2013. Band midpoints; open top band given the width of the band below. See st_watch_wd for the 2018 break.",,
st_educational_wd,unavailable,,,,,
st_educational_we,unavailable,,,,,
st_educational,partial,computer_hrs_week_school,"recode_values(
  computer_hrs_week_school,
  1 ~ 0,
  2 ~ 0.5,
  3 ~ 1.5,
  4 ~ 4,
  5 ~ 7.5,
  6 ~ 14.5,
  7 ~ 24.5,
  8 ~ 34.5,
  9 ~ 44.5
) /
  7","Hours/week using a computer for schoolwork (2000-2017), divided by 7. Partial: computer only, so tablet/phone study time is missed. Band midpoints; open top band given the width of the band below.",,
st_work_wd,unavailable,,,No weekday/weekend split.,,
st_work_we,unavailable,,,No weekday/weekend split.,,
st_work,partial,"computer_hrs_week_job, data_year","case_when(
  data_year <= 2005 & computer_hrs_week_job == 7 ~ 20,
  data_year <= 2009 & computer_hrs_week_job == 8 ~ 30,
  .default = recode_values(
    computer_hrs_week_job,
    1 ~ 0,
    2 ~ 0.5,
    3 ~ 1.5,
    4 ~ 4,
    5 ~ 7.5,
    6 ~ 14.5,
    7 ~ 24.5,
    8 ~ 34.5,
    9 ~ 40
  )
) /
  7","'Hours a week using a computer at your job, if you have one', 2000-2012, divided by 7. Band midpoints; open top band at its floor, which moves from 20 h (2000-2005) to 30 h (2006-2009) to 40 h (2010-2012). Partial: computer only.",,
st_internet_wd,unavailable,,,,,
st_internet_we,unavailable,,,,,
st_internet,partial,internet_hrs_week_leisure,"recode_values(
  internet_hrs_week_leisure,
  1 ~ 0,
  2 ~ 0.5,
  3 ~ 1.5,
  4 ~ 4,
  5 ~ 7.5,
  6 ~ 14.5,
  7 ~ 24.5,
  8 ~ 34.5,
  9 ~ 44.5
) /
  7","Hours/week on the Internet not counting school or job work (e-mailing, IM, gaming, shopping, etc.), 2006-2017, divided by 7. Partial: excludes school/job use and bundles activities later asked separately. Band midpoints; open top band given the width of the band below.",,
st_videochat,compatible,"video_chat_hrs_day, video_chat_hrs_week","coalesce(
  recode_values(video_chat_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5),
  recode_values(video_chat_hrs_week, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 4, 5 ~ 7.5, 6 ~ 14.5, 7 ~ 24.5, 8 ~ 34.5, 9 ~ 44.5) /
    7
)","Video chatting (Skype, etc.): hours/week 2013-2017 (divided by 7), hours/day from 2018; not asked before 2013. Band midpoints; open top band given the width of the band below. See st_watch_wd for the 2018 break.",,
st_messaging_wd,unavailable,,,No weekday/weekend split.,,
st_messaging_we,unavailable,,,No weekday/weekend split.,,
st_messaging,compatible,"texting_hrs_day, texting_hrs_week","coalesce(
  recode_values(texting_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9),
  recode_values(texting_hrs_week, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 4, 5 ~ 7.5, 6 ~ 14.5, 7 ~ 24.5, 8 ~ 34.5, 9 ~ 40) / 7
)","Texting hours: weekly (2010-2017, 9 bands) divided by 7; per-day (2018-2024, 7 bands). Band midpoints; open top band at its floor (40 h/week, 9 h/day). Daily framing from 2018 roughly doubles reported hours.",,
st_creating,unavailable,,,Not collected.,,
st_email,compatible,email_hrs_day,"recode_values(email_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5)","Hours/day emailing, 2018-2024 only; earlier folded into the general internet item, so missing, not zero. Band midpoints; open top band given the width of the band below.",,
st_shopping,compatible,shop_online_hrs_day,"recode_values(shop_online_hrs_day, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 3.5, 5 ~ 5.5, 6 ~ 7.5, 7 ~ 9.5)","Hours/day shopping online, 2018-2024 only; earlier folded into the general internet item, so missing, not zero. Band midpoints; open top band given the width of the band below.",,
st_total_school,unavailable,,,,,
st_educational_school,unavailable,,,,,
st_comp_school,incompatible,computer_hrs_week_school,,"Nearest item is computer schoolwork in any location (mapped to st_educational), not computer use at school. Nothing measured in the school context.",,
st_tablet_school,unavailable,,,,,
st_internet_school,incompatible,internet_hrs_week_school,,"The internet item excludes school/job work, the opposite of school-context use. Mapped to st_internet.",,
st_phone_school,unavailable,,,,,
acc_academachment_selfrated,unavailable,,,,,
acc_academachment_lettergrades,compatible,grade_average,"recode_values(grade_average, 1 ~ ""D"", 2 ~ ""C-"", 3 ~ ""C"", 4 ~ ""C+"", 5 ~ ""B-"", 6 ~ ""B"", 7 ~ ""B+"", 8 ~ ""A-"", 9 ~ ""A"")","Self-reported average grade this school year, all years and grades. Source labels carry percentage anchors (9 = 'A (93-100)' ... 1 = 'D (69 or below)'). -9 becomes NA.",,
acc_academachment_stdtest,unavailable,,,,,
acc_schoolengage_caresschool,unavailable,,,,,
acc_schoolengage_homework,incompatible,homework_hrs_week,,"Hours/week on homework, not how often set homework is completed; can't convert to Always/Usually/Sometimes/Never without inventing a threshold.",,
acc_schoolpressure_self,in_progress,,,,,
acc_schoolbelonging_self,in_progress,,,,,
acc_schoolbelonging_measure,in_progress,,,,,
acc_academachment_numgrades,compatible,grade_average,"recode_values(grade_average, 1 ~ 1, 2 ~ 1.7, 3 ~ 2, 4 ~ 2.3, 5 ~ 2.7, 6 ~ 3, 7 ~ 3.3, 8 ~ 3.7, 9 ~ 4)","Same self-reported grade on the US 4.0 GPA scale (A = 4.0, A- = 3.7 ... D = 1.0); higher is better.",,
acc_academachment_teacherrated,unavailable,,,,,
acc_numeracy_stdtest,unavailable,,,,,
acc_literacy_stdtest,unavailable,,,,,
beh_hyper_basc2,unavailable,,,,,
beh_atten_basc2,unavailable,,,,,
beh_atten_self,unavailable,,,,,
beh_atten_measure,in_progress,,,,,
beh_selfreg_htks,unavailable,,,,,
beh_bullied,unavailable,,,,,
beh_beenbullied,proximate,bullied_school,"recode_values(bullied_school, 1 ~ FALSE, c(2, 3, 4, 5) ~ TRUE)","'How often do you feel bullied at school?', 1-5 (Never to Every day), 2018-2024. TRUE for any occurrence. Proximate: 'feel bullied', no reference period (schema: past few months). Online item on beh_beenbullied_online.",,
beh_beenbullied_online,proximate,bullied_online,"recode_values(bullied_online, 1 ~ FALSE, c(2, 3, 4, 5) ~ TRUE)","'How often do you feel bullied online?', 1-5 (Never to Every day), 2018-2024. TRUE for any occurrence. Proximate: 'feel bullied', no reference period.",,
beh_bullied_online,unavailable,,,Only online victimisation is asked.,,
beh_fight,partial,fight_gang,"recode_values(fight_gang, 1 ~ FALSE, c(2, 3, 4, 5) ~ TRUE)","Group fight (friends against another group), past 12 months; TRUE for any occurrence. Partial: one-on-one fights count as FALSE. -9 becomes NA.",,
beh_truancy,compatible,"skip_days_4wk, skip_class_4wk","case_when(
  skip_days_4wk %in% 2:7 | skip_class_4wk %in% 2:6 ~ ""TRUE"",
  skip_days_4wk == 1 & skip_class_4wk == 1 ~ ""FALSE"",
  .default = NA_character_
)","Whole days missed 'because you skipped or cut' and times 'skipped a class when you weren't supposed to', past 4 weeks. TRUE for any occurrence of either; FALSE only when both are none.",,
beh_stealing,compatible,"steal_under50, steal_over50","case_when(
  steal_under50 %in% 2:5 | steal_over50 %in% 2:5 ~ ""TRUE"",
  steal_under50 == 1 & steal_over50 == 1 ~ ""FALSE"",
  .default = NA_character_
)","'Taken something not belonging to you worth under $50' and '... over $50', past 12 months (never to 5+ times). TRUE for any occurrence of either; FALSE only when both are never.",,
beh_vandalism,partial,damage_school_property,"recode_values(damage_school_property, 1 ~ ""FALSE"", c(2, 3, 4, 5) ~ ""TRUE"")","'Damaged school property on purpose', past 12 months (never to 5+ times). TRUE for any occurrence. Partial: school property only.",,
beh_alcohol_self,in_progress,,,,,
beh_tobacco_self,in_progress,,,,,
beh_cannabis_self,in_progress,,,,,
beh_conduct_sdq_parent,unavailable,,,,,
beh_hyper_sdq_parent,unavailable,,,,,
beh_peerprob_sdq_parent,unavailable,,,,,
beh_prosocial_sdq_parent,unavailable,,,,,
beh_aggphys_bpaq_self,unavailable,,,,,
beh_aggverb_bpaq_self,unavailable,,,,,
beh_agganger_bpaq_self,unavailable,,,,,
beh_agghostility_bpaq_self,unavailable,,,,,
beh_agg_self,unavailable,,,,,
beh_agg_measure,in_progress,,,,,
beh_argues,unavailable,,,,,
beh_persistence_finishwork,unavailable,,,,,
beh_emotreg_stayscalm,unavailable,,,,,
beh_peerprob_makefriends,unavailable,,,,,
beh_conduct_diagnosed,unavailable,,,,,
beh_conduct_diagnosed_severity,unavailable,,,,,
beh_conduct_sdq_self,unavailable,,,,,
beh_hyper_sdq_self,unavailable,,,,,
beh_peerprob_sdq_self,unavailable,,,,,
beh_prosocial_sdq_self,unavailable,,,,,
beh_conduct_sdq_teacher,unavailable,,,,,
beh_hyper_sdq_teacher,unavailable,,,,,
beh_peerprob_sdq_teacher,unavailable,,,,,
beh_prosocial_sdq_teacher,unavailable,,,,,
beh_ext_sdq_parent,unavailable,,,,,
beh_ext_sdq_self,unavailable,,,,,
beh_ext_sdq_teacher,unavailable,,,,,
beh_agg_cbcl_parent,unavailable,,,No parent report.,,
beh_atten_cbcl_parent,unavailable,,,No parent report.,,
beh_rulebreak_cbcl_parent,unavailable,,,No parent report.,,
beh_ext_cbcl_parent,unavailable,,,No parent report.,,
beh_cbcl_measure,unavailable,,,No CBCL scores to describe.,,
beh_prosocial_online_self,unavailable,,,Not collected.,,
beh_prosocial_online_measure,unavailable,,,No beh_prosocial_online_self to describe.,,
beh_problematicuse_self,in_progress,,,,,
beh_problematicuse_measure,in_progress,,,,,
cog_execfunc_basc2,unavailable,,,,,
cog_langexec_nepsy,unavailable,,,,,
cog_phono_nepsy,unavailable,,,,,
cog_inhibcont_nepsy,unavailable,,,,,
cog_vismotor_nepsy,unavailable,,,,,
cog_verbalfluency_nepsy,unavailable,,,,,
cog_inhib_nihtb_flanker,unavailable,,,,,
cog_flex_nihtb_dccs,unavailable,,,,,
cog_wm_nihtb_listsort,unavailable,,,,,
cog_speed_nihtb_pattern,unavailable,,,,,
cog_epimem_nihtb_picseq,unavailable,,,,,
cog_vocab_nihtb_picvocab,unavailable,,,,,
cog_fluidcomp_nihtb,unavailable,,,,,
cog_crystcomp_nihtb,unavailable,,,,,
cog_totalcomp_nihtb,unavailable,,,,,
cog_wm_digitspan,unavailable,,,,,
cog_iq_fullscale,unavailable,,,,,
cog_vocab_bpvs,unavailable,,,,,
cog_vocab_ppvt,unavailable,,,Not collected.,,
cog_execfunc_brief_parent,unavailable,,,,,
cog_vocab_bas_naming,unavailable,,,Not collected.,,
cog_nonverbalreason_bas_picsim,unavailable,,,Not collected.,,
cog_spatial_bas_pattern,unavailable,,,Not collected.,,
cog_verbalreason_bas_versim,unavailable,,,Not collected.,,
cog_schoolread_bracken,unavailable,,,Not collected.,,
cog_creativethinking_stdtest,unavailable,,,Not collected.,,
mh_anx_basc2,unavailable,,,,,
mh_dep_basc2,unavailable,,,,,
mh_emotsymp_sdq_parent,unavailable,,,,,
mh_totaldiff_sdq_parent,unavailable,,,,,
mh_anx_diagnosed,unavailable,,,,,
mh_anx_diagnosed_severity,unavailable,,,,,
mh_dep_diagnosed,unavailable,,,,,
mh_dep_diagnosed_severity,unavailable,,,,,
mh_emotsymp_sdq_self,unavailable,,,,,
mh_emotsymp_sdq_teacher,unavailable,,,,,
mh_totaldiff_sdq_self,unavailable,,,,,
mh_totaldiff_sdq_teacher,unavailable,,,,,
mh_int_sdq_parent,unavailable,,,,,
mh_int_sdq_self,unavailable,,,,,
mh_int_sdq_teacher,unavailable,,,,,
mh_dep_smfq_self,unavailable,,,,,
mh_dep_smfq_parent,unavailable,,,,,
mh_dep_cdi_self,unavailable,,,,,
mh_dep_cesd_self,unavailable,,,,,
mh_dep_phq9_self,unavailable,,,,,
mh_dep_rcads_self,unavailable,,,,,
mh_dep_dass21_self,unavailable,,,,,
mh_dep_scl_self,incompatible,"dep_enjoy_life, dep_meaningless, dep_good_alive, dep_hopeless, dep_lonely",,"MTF's own Bentler depressive-affect items (1-5 agreement), not an SCL-90-R subscale or short form. Scored on mh_dep_self.",,
mh_distress_k6_self,unavailable,,,,,
mh_distress_k10_self,unavailable,,,,,
mh_anx_masc_self,unavailable,,,,,
mh_anx_scas_self,unavailable,,,,,
mh_anx_scas_parent,unavailable,,,,,
mh_anx_scared_self,unavailable,,,,,
mh_anx_scared_parent,unavailable,,,,,
mh_anx_gad7_self,unavailable,,,,,
mh_anx_rcads_self,unavailable,,,,,
mh_anx_dass21_self,unavailable,,,,,
mh_anxdep_cbcl_parent,unavailable,,,No parent report.,,
mh_int_cbcl_parent,unavailable,,,No parent report.,,
mh_dep_binary_self,incompatible,,,"No screening item, and the depressive symptoms scale on mh_dep_self has no published cut-point.",,
mh_dep_self,compatible,"dep_meaningless, dep_enjoy_life, dep_hopeless, dep_cant_do_right, dep_life_not_useful, dep_good_alive","(6 - na_if(dep_enjoy_life, -9)) +
  na_if(dep_meaningless, -9) +
  (6 - na_if(dep_good_alive, -9)) +
  na_if(dep_hopeless, -9) +
  na_if(dep_cant_do_right, -9) +
  na_if(dep_life_not_useful, -9)","MTF depressive symptoms scale: 6 Bentler (BMPFI) items, 1-5 agreement (doi:10.1177/2167702617723376). 'I enjoy life as much as anyone' and 'It feels good to be alive' reversed; sum, range 6-30, all six required.",,
mh_dep_measure,inferred,"dep_enjoy_life, dep_meaningless, dep_good_alive, dep_hopeless, dep_cant_do_right, dep_life_not_useful","""MTF depressive symptoms scale (Bentler items), 6 of 6 items, 1-5 item scoring (range 6-30); 'I enjoy life as much as anyone' and 'It feels good to be alive' reverse-scored""",Describes mh_dep_self.,,
mh_anx_self,incompatible,anxious,,Single agreement item 'I often feel anxious' (2019-2024); no anxiety scale.,,
mh_anx_measure,unavailable,,,No mh_anx_self to describe.,,
mh_depanx_diagnosed,incompatible,,,"Only 12th-grade visits to a professional for an emotional problem, past 12 months; no diagnosis item.",,
mh_stress_self,unavailable,,,Not collected.,,
mh_lonely_self,incompatible,dep_lonely,,"'A lot of times I feel lonely' is an agreement item, not a frequency; scored in mh_lonely_scale_self.",,
mh_lonely_scale_self,compatible,"dep_lonely, lonely_left_out, lonely_wish_friends, lonely_turn_to, lonely_talk_to, lonely_friends_around","na_if(dep_lonely, -9) +
  na_if(lonely_left_out, -9) +
  na_if(lonely_wish_friends, -9) +
  (6 - na_if(lonely_turn_to, -9)) +
  (6 - na_if(lonely_talk_to, -9)) +
  (6 - na_if(lonely_friends_around, -9))","Six MTF agreement items scored 1-5 (disagree to agree): feel lonely, feel left out, wish for more good friends, and someone to turn to, someone to talk to and friends around (last three reversed). Sum, range 6-30, all six required.",,
mh_lonely_measure,inferred,"dep_lonely, lonely_left_out, lonely_wish_friends, lonely_turn_to, lonely_talk_to, lonely_friends_around","""MTF loneliness items, 6 items, 1-5 item scoring (range 6-30); 'There is always someone I can turn to if I need help', 'There is usually someone I can talk to if I need to' and 'I usually have a few friends around that I can get together with' reverse-scored""",Describes mh_lonely_scale_self.,,
mh_sad_self,incompatible,,,Only a 2021 item on change in sadness since COVID-19.,,
mh_worry_self,incompatible,,,"Only an agreement item ('I often worry about how other people react to me', 2019-2024) and a 2021 COVID-change item.",,
mh_irritable_self,incompatible,,,"Only an agreement item ('I have trouble controlling my temper', 2019-2024) and 2021 COVID-change items.",,
mh_nobodycares_self,unavailable,,,Not collected.,,
mh_lifenotworth_self,incompatible,dep_meaningless,,"Only the agreement item 'Life often seems meaningless', scored in mh_dep_self.",,
mh_suicide_ideation_self,unavailable,,,Not collected.,,
